iter	Passed	Remaining
405	6829	77280
406	6843	77231
407	6859	77199
408	6875	77176
409	6892	77160
410	6909	77152
411	6918	77046
412	6936	77045
413	6954	77033
414	6971	77026
415	6988	77009
416	6996	76897
417	7012	76869
418	7029	76857
419	7040	76778
420	7057	76757
421	7074	76750
422	7092	76738
423	7108	76718
424	7124	76696
425	7140	76665
426	7157	76651
427	7174	76636
428	7190	76615
429	7196	76480
430	7212	76461
431	7228	76432
432	7245	76419
433	7262	76406
434	7279	76394
435	7295	76373
436	7313	76365
437	7330	76346
438	7345	76318
439	7362	76301
440	7379	76293
441	7396	76269
442	7411	76240
443	7429	76239
444	7447	76233
445	7465	76224
446	7483	76221
447	7500	76211
448	7517	76199
449	7534	76178
450	7551	76169
451	7569	76159
452	7586	76148
453	7603	76135
454	7621	76132
455	7637	76108
456	7653	76087
457	7671	76076
458	7688	76060
459	7704	76044
460	7720	76016
461	7736	75989
462	7752	75972
463	7769	75954
464	7786	75939
465	7803	75920
466	7820	75908
467	7837	75892
468	7854	75881
469	7871	75871
470	7890	75870
471	7907	75858
472	7925	75854
473	7943	75847
474	7960	75838
475	7979	75834
476	7997	75833
477	8014	75821
478	8031	75803
479	8049	75798
480	8060	75728
481	8075	75698
482	8091	75671
483	8106	75640
484	8123	75626
485	8140	75609
486	8156	75586
487	8172	75565
488	8188	75538
489	8204	75517
490	8220	75495
491	8238	75483
492	8253	75455
493	8269	75430
494	8287	75420
495	8303	75403
496	8321	75393
497	8337	75368
498	8352	75343
499	8370	75331
500	8386	75311
501	8403	75293
502	8419	75274
503	8435	75252
504	8451	75230
505	8468	75211
506	8485	75196
507	8502	75182
508	8519	75167
509	8536	75153
510	8552	75131
511	8569	75114
512	8585	75089
513	8596	75028
514	8612	75004
515	8629	74992
516	8644	74959
517	8660	74934
518	8675	74907
519	8692	74886
520	8709	74874
521	8726	74861
522	8742	74837
523	8758	74816
524	8774	74793
525	8791	74779
526	8808	74761
527	8825	74746
528	8840	74722
529	8846	74612
530	8863	74595
531	8881	74589
532	8898	74574
533	8915	74561
534	8929	74523
535	8945	74498
536	8961	74478
537	8976	74446
538	8991	74418
539	9009	74413
540	9027	74409
541	9045	74403
542	9062	74388
543	9080	74377
544	9097	74368
545	9114	74353
546	9132	74342
547	9148	74322
548	9166	74318
549	9183	74305
550	9199	74282
551	9216	74267
552	9233	74248
553	9248	74224
554	9266	74216
555	9282	74196
556	9299	74182
557	9316	74166
558	9333	74148
559	9350	74133
560	9366	74111
561	9383	74101
562	9401	74091
563	9419	74084
564	9436	74070
565	9451	74044
566	9468	74024
567	9484	74007
568	9501	73994
569	9519	73983
570	9535	73964
571	9552	73949
572	9568	73925
573	9586	73921
574	9603	73903
575	9620	73890
576	9636	73868
577	9654	73862
578	9670	73841
579	9687	73827
580	9703	73806
581	9720	73785
582	9735	73761
583	9753	73751
584	9769	73729
585	9784	73704
586	9795	73642
587	9811	73617
588	9827	73599
589	9844	73584
590	9863	73581
591	9879	73565
592	9897	73552
593	9914	73540
594	9931	73524
595	9948	73509
596	9964	73491
597	9981	73474
598	9997	73451
599	10014	73438
600	10028	73404
601	10046	73394
602	10062	73377
603	10079	73356
604	10095	73335
605	10111	73315
606	10127	73296
607	10145	73286
608	10161	73266
609	10177	73241
610	10193	73221
611	10208	73197
612	10224	73175
613	10241	73160
614	10259	73148
615	10276	73135
616	10292	73114
617	10309	73098
618	10325	73078
619	10341	73057
620	10357	73038
621	10374	73019
622	10390	73002
623	10407	72983
624	10424	72969
625	10441	72954
626	10457	72935
627	10473	72914
628	10490	72902
629	10508	72888
630	10524	72868
631	10540	72850
632	10557	72834
633	10575	72828
634	10592	72812
635	10608	72791
636	10624	72770
637	10641	72756
638	10657	72733
639	10672	72709
640	10689	72691
641	10705	72667
642	10721	72649
643	10727	72557
644	10742	72531
645	10758	72510
646	10774	72490
647	10790	72471
648	10798	72397
649	10816	72384
650	10832	72363
651	10849	72353
652	10867	72341
653	10883	72325
654	10900	72309
655	10917	72295
656	10934	72279
657	10951	72264
658	10967	72247
659	10983	72227
660	11000	72212
661	11017	72196
662	11033	72176
663	11049	72157
664	11066	72142
665	11083	72126
666	11101	72119
667	11117	72099
668	11134	72081
669	11153	72080
670	11171	72075
671	11189	72063
672	11205	72044
673	11222	72028
674	11239	72017
675	11256	72000
676	11273	71988
677	11289	71966
678	11305	71944
679	11321	71924
680	11337	71903
681	11355	71893
682	11371	71876
683	11388	71859
684	11405	71844
685	11421	71828
686	11438	71811
687	11455	71796
688	11471	71776
689	11488	71761
690	11505	71747
691	11521	71727
692	11538	71709
693	11554	71694
694	11571	71675
695	11588	71661
696	11605	71647
697	11622	71631
698	11639	71615
699	11656	71603
700	11673	71592
701	11691	71578
702	11706	71557
703	11723	71542
704	11740	71526
705	11757	71512
706	11774	71494
707	11790	71472
708	11805	71451
709	11821	71429
710	11838	71415
711	11855	71396
712	11871	71376
713	11888	71361
714	11903	71339
715	11921	71326
716	11937	71310
717	11954	71295
718	11970	71275
719	11987	71257
720	12003	71240
721	12020	71222
722	12037	71207
723	12054	71197
724	12071	71179
725	12088	71163
726	12104	71144
727	12121	71127
728	12138	71117
729	12156	71107
730	12174	71097
731	12191	71082
732	12207	71063
733	12224	71050
734	12241	71036
735	12259	71023
736	12276	71008
737	12293	70994
738	12310	70980
739	12327	70964
740	12343	70947
741	12360	70933
742	12378	70920
743	12395	70904
744	12411	70889
745	12428	70871
746	12444	70851
747	12460	70831
748	12477	70816
749	12495	70808
750	12511	70790
751	12528	70771
752	12544	70751
753	12560	70729
754	12576	70710
755	12593	70694
756	12610	70680
757	12626	70663
758	12643	70648
759	12662	70641
760	12678	70623
761	12694	70602
762	12712	70591
763	12730	70582
764	12747	70569
765	12763	70550
766	12779	70529
767	12796	70514
768	12814	70507
769	12833	70498
770	12850	70486
771	12868	70474
772	12884	70455
773	12901	70440
774	12918	70424
775	12935	70412
776	12952	70399
777	12971	70390
778	12987	70374
779	13003	70353
780	13020	70337
781	13037	70325
782	13053	70304
783	13069	70283
784	13086	70267
785	13102	70247
786	13119	70230
787	13135	70212
788	13152	70195
789	13169	70180
790	13186	70167
791	13203	70150
792	13219	70133
793	13236	70115
794	13253	70101
795	13270	70086
796	13287	70073
797	13305	70060
798	13321	70039
799	13338	70024
800	13353	70003
801	13369	69982
802	13386	69967
803	13402	69946
804	13419	69931
805	13435	69909
806	13450	69887
807	13467	69871
808	13483	69852
809	13499	69832
810	13516	69814
811	13534	69806
812	13551	69790
813	13568	69777
814	13579	69731
815	13597	69718
816	13614	69705
817	13631	69692
818	13649	69679
819	13666	69664
820	13683	69648
821	13699	69631
822	13718	69626
823	13736	69613
824	13751	69593
825	13768	69575
826	13786	69563
827	13805	69559
828	13821	69541
829	13837	69518
830	13853	69501
831	13869	69483
832	13888	69475
833	13905	69462
834	13923	69448
835	13939	69431
836	13956	69415
837	13972	69395
838	13988	69375
839	14004	69355
840	14020	69334
841	14036	69315
842	14053	69301
843	14070	69284
844	14086	69263
845	14103	69249
846	14120	69237
847	14137	69220
848	14153	69200
849	14170	69187
850	14187	69170
851	14204	69154
852	14215	69109
853	14231	69092
854	14248	69076
855	14264	69057
856	14280	69038
857	14297	69022
858	14314	69004
859	14330	68987
860	14347	68969
861	14363	68952
862	14379	68932
863	14396	68916
864	14412	68896
865	14427	68873
866	14443	68853
867	14459	68833
868	14475	68812
869	14491	68791
870	14506	68769
871	14523	68751
872	14539	68732
873	14555	68713
874	14571	68692
875	14588	68678
876	14604	68660
877	14620	68640
878	14636	68619
879	14652	68600
880	14668	68580
881	14684	68561
882	14701	68545
883	14720	68538
884	14737	68522
885	14753	68506
886	14770	68489
887	14787	68477
888	14804	68462
889	14821	68447
890	14839	68435
891	14856	68420
892	14874	68407
893	14890	68389
894	14906	68370
895	14922	68351
896	14939	68337
897	14957	68326
898	14976	68317
899	14992	68299
900	15009	68285
901	15026	68270
902	15043	68253
903	15060	68236
904	15077	68223
905	15098	68226
906	15115	68212
907	15134	68206
908	15152	68192
909	15169	68177
910	15186	68162
911	15202	68146
912	15219	68127
913	15235	68110
914	15252	68092
915	15269	68079
916	15286	68064
917	15302	68046
918	15318	68025
919	15337	68017
920	15354	68003
921	15370	67985
922	15388	67972
923	15404	67951
924	15422	67940
925	15439	67928
926	15455	67907
927	15472	67892
928	15489	67875
929	15504	67854
930	15522	67841
931	15538	67822
932	15554	67804
933	15571	67787
934	15587	67767
935	15603	67747
936	15618	67726
937	15634	67705
938	15650	67686
939	15666	67667
940	15683	67649
941	15699	67632
942	15716	67614
943	15733	67599
944	15749	67580
945	15766	67567
946	15784	67555
947	15801	67541
948	15820	67532
949	15838	67520
950	15855	67505
951	15872	67489
952	15888	67472
953	15905	67455
954	15921	67438
955	15938	67421
956	15956	67409
957	15973	67396
958	15989	67376
959	16007	67363
960	16023	67346
961	16040	67328
962	16056	67312
963	16073	67296
964	16090	67279
965	16108	67267
966	16124	67247
967	16140	67229
968	16157	67214
969	16173	67194
970	16191	67182
971	16207	67164
972	16223	67144
973	16240	67128
974	16257	67113
975	16277	67109
976	16293	67093
977	16311	67081
978	16330	67072
979	16348	67060
980	16365	67045
981	16381	67028
982	16399	67014
983	16415	66998
984	16433	66985
985	16450	66970
986	16468	66957
987	16485	66943
988	16501	66925
989	16519	66910
990	16534	66890
991	16552	66875
992	16569	66861
993	16585	66842
994	16602	66827
995	16618	66809
996	16636	66795
997	16652	66777
998	16669	66761
999	16687	66749
1000	16703	66732
1001	16721	66717
1002	16736	66697
1003	16753	66680
1004	16771	66667
1005	16788	66653
1006	16806	66641
1007	16823	66625
1008	16841	66613
1009	16859	66602
1010	16876	66589
1011	16895	66578
1012	16913	66567
1013	16929	66550
1014	16947	66536
1015	16964	66521
1016	16981	66506
1017	16998	66492
1018	17014	66473
1019	17032	66459
1020	17049	66445
1021	17067	66433
1022	17089	66437
1023	17107	66424
1024	17124	66409
1025	17140	66390
1026	17157	66376
1027	17174	66358
1028	17191	66341
1029	17208	66327
1030	17224	66309
1031	17241	66293
1032	17257	66273
1033	17274	66256
1034	17290	66237
1035	17298	66186
1036	17312	66161
1037	17330	66148
1038	17347	66134
1039	17364	66118
1040	17382	66106
1041	17399	66092
1042	17417	66079
1043	17434	66065
1044	17452	66051
1045	17469	66035
1046	17486	66020
1047	17503	66006
1048	17520	65991
1049	17537	65975
1050	17555	65961
1051	17572	65947
1052	17590	65935
1053	17607	65918
1054	17625	65906
1055	17642	65891
1056	17658	65873
1057	17674	65855
1058	17691	65836
1059	17708	65823
1060	17726	65809
1061	17743	65794
1062	17760	65779
1063	17779	65771
1064	17796	65755
1065	17814	65741
1066	17831	65729
1067	17848	65712
1068	17866	65699
1069	17883	65682
1070	17899	65666
1071	17917	65652
1072	17935	65639
1073	17951	65623
1074	17968	65607
1075	17985	65591
1076	18002	65572
1077	18018	65556
1078	18035	65537
1079	18052	65524
1080	18069	65509
1081	18086	65493
1082	18104	65479
1083	18121	65464
1084	18137	65446
1085	18153	65426
1086	18170	65409
1087	18186	65390
1088	18203	65376
1089	18220	65361
1090	18237	65342
1091	18244	65294
1092	18260	65273
1093	18278	65261
1094	18294	65243
1095	18311	65225
1096	18327	65205
1097	18343	65188
1098	18360	65171
1099	18377	65157
1100	18395	65144
1101	18412	65129
1102	18429	65111
1103	18447	65101
1104	18465	65087
1105	18481	65069
1106	18498	65053
1107	18514	65036
1108	18528	65007
1109	18544	64989
1110	18561	64975
1111	18578	64959
1112	18594	64938
1113	18610	64919
1114	18627	64903
1115	18643	64883
1116	18660	64869
1117	18676	64851
1118	18693	64832
1119	18710	64817
1120	18723	64790
1121	18739	64770
1122	18748	64726
1123	18764	64709
1124	18781	64693
1125	18799	64679
1126	18816	64664
1127	18833	64649
1128	18850	64631
1129	18865	64609
1130	18882	64595
1131	18899	64577
1132	18916	64563
1133	18933	64548
1134	18952	64537
1135	18968	64521
1136	18986	64507
1137	19004	64493
1138	19021	64480
1139	19030	64436
1140	19048	64423
1141	19066	64413
1142	19082	64392
1143	19098	64373
1144	19115	64358
1145	19131	64340
1146	19147	64321
1147	19164	64306
1148	19181	64287
1149	19198	64272
1150	19215	64256
1151	19232	64241
1152	19249	64226
1153	19267	64213
1154	19284	64198
1155	19301	64182
1156	19318	64167
1157	19335	64149
1158	19351	64132
1159	19368	64114
1160	19384	64095
1161	19399	64076
1162	19415	64054
1163	19431	64036
1164	19447	64016
1165	19463	63999
1166	19481	63985
1167	19498	63970
1168	19516	63958
1169	19553	64009
1170	19584	64039
1171	19606	64039
1172	19625	64029
1173	19642	64013
1174	19659	63996
1175	19675	63978
1176	19690	63957
1177	19707	63941
1178	19723	63923
1179	19742	63913
1180	19760	63899
1181	19778	63885
1182	19794	63866
1183	19810	63847
1184	19826	63829
1185	19842	63811
1186	19859	63793
1187	19874	63771
1188	19891	63756
1189	19907	63738
1190	19924	63722
1191	19941	63706
1192	19958	63689
1193	19976	63676
1194	19994	63664
1195	20011	63649
1196	20029	63635
1197	20045	63616
1198	20062	63601
1199	20079	63585
1200	20096	63569
1201	20112	63551
1202	20128	63531
1203	20145	63515
1204	20162	63500
1205	20179	63483
1206	20196	63469
1207	20213	63452
1208	20230	63437
1209	20247	63421
1210	20264	63404
1211	20282	63389
1212	20298	63371
1213	20314	63352
1214	20331	63336
1215	20348	63322
1216	20365	63304
1217	20380	63284
1218	20398	63269
1219	20415	63253
1220	20432	63239
1221	20450	63226
1222	20467	63209
1223	20484	63194
1224	20502	63180
1225	20520	63168
1226	20538	63154
1227	20556	63142
1228	20573	63125
1229	20589	63109
1230	20606	63091
1231	20624	63078
1232	20642	63066
1233	20659	63049
1234	20675	63030
1235	20691	63012
1236	20708	62996
1237	20726	62983
1238	20744	62971
1239	20763	62959
1240	20779	62942
1241	20797	62927
1242	20814	62912
1243	20832	62898
1244	20848	62879
1245	20864	62860
1246	20881	62844
1247	20898	62830
1248	20915	62814
1249	20931	62795
1250	20948	62779
1251	20965	62763
1252	20984	62751
1253	21001	62735
1254	21016	62715
1255	21034	62701
1256	21052	62688
1257	21068	62670
1258	21085	62654
1259	21102	62637
1260	21120	62623
1261	21137	62607
1262	21153	62590
1263	21170	62572
1264	21187	62558
1265	21204	62542
1266	21223	62530
